decade,concept,concept_hits,k,silhouette,json_path
1950,ai,3,6,0.12353593111038208,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1950_topics.json
1960,ai,3,6,0.11379173398017883,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1960_topics.json
1970,ai,3,7,0.056549862027168274,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1970_topics.json
1980,ai,3,6,0.10341910272836685,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1980_topics.json
1990,ai,12,6,0.06251276284456253,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/1990_topics.json
2000,ai,12,7,0.07303982973098755,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/2000_topics.json
2010,ai,15,10,0.07096719741821289,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/ai/2010_topics.json
1980,gmo,4,9,0.07023672759532928,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/gmo/1980_topics.json
1990,gmo,6,7,0.08473104238510132,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/gmo/1990_topics.json
2000,gmo,7,6,0.07741696387529373,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/gmo/2000_topics.json
2010,gmo,7,10,0.06533150374889374,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/gmo/2010_topics.json
1900,nuclear,7,6,0.07943878322839737,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1900_topics.json
1910,nuclear,7,9,0.07973296195268631,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1910_topics.json
1920,nuclear,7,7,0.07580836862325668,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1920_topics.json
1930,nuclear,7,8,0.08857835829257965,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1930_topics.json
1940,nuclear,9,10,0.09748315811157227,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1940_topics.json
1950,nuclear,11,9,0.07901768386363983,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1950_topics.json
1960,nuclear,11,6,0.08538100123405457,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1960_topics.json
1970,nuclear,11,10,0.09627380967140198,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1970_topics.json
1980,nuclear,12,7,0.08145752549171448,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1980_topics.json
1990,nuclear,12,6,0.07888391613960266,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/1990_topics.json
2000,nuclear,12,6,0.09826922416687012,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/2000_topics.json
2010,nuclear,12,6,0.08480457216501236,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/nuclear/2010_topics.json
1960,phone_social,6,10,0.05016659200191498,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/phone_social/1960_topics.json
1970,phone_social,7,6,0.10562413930892944,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/phone_social/1970_topics.json
1980,phone_social,7,7,0.10928459465503693,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/phone_social/1980_topics.json
1990,phone_social,11,6,0.09949660301208496,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/phone_social/1990_topics.json
2000,phone_social,19,7,0.06300075352191925,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/phone_social/2000_topics.json
2010,phone_social,23,8,0.05976279079914093,/Users/liruiling/Desktop/COCHA_PROJECT/results/emergent_topics/phone_social/2010_topics.json
