from,to,score,n_concerns
social_media,phone_social,3.6391839582758,6
ai,social_media,3.6391839582758,6
phone_social,gmo,3.6391839582758,6
ai,phone_social,2.207276647028654,6
social_media,gmo,2.207276647028654,6
automation_control,ai,1.8393972058572117,5
ai,gmo,1.338780960890579,6
nuclear,automation_control,1.115650800742149,5
automation_control,social_media,1.115650800742149,5
smartphone,automation_control,1.115650800742149,5
automation_control,phone_social,0.6766764161830635,5
nuclear,ai,0.6335551532679239,6
smartphone,ai,0.49250999174339277,6
automation_control,gmo,0.410424993119494,5
nuclear,social_media,0.38427062507593246,6
smartphone,nuclear,0.36787944117144233,1
smartphone,social_media,0.29872241020718365,6
nuclear,phone_social,0.23307191573549133,6
smartphone,phone_social,0.18118430053391102,6
nuclear,gmo,0.14136526281153483,6
smartphone,gmo,0.10989383333240507,6
