decade,concept,align,concept_hits,sentiment_raw,sentiment_delta,unemployment_raw,unemployment_delta,health_raw,health_delta,privacy_raw,privacy_delta,childhood_raw,childhood_delta,information_raw,information_delta,tech_companies_raw,tech_companies_delta
1900,ai,anchors:28374,8,0.099455342,0.1017852642107755,0.5415990352630615,0.2666829824447632,0.6097269058227539,0.2759692370891571,0.5928020477294922,0.21799707412719727,0.5122056007385254,0.19218850135803223,0.5660192370414734,0.20926320552825928,0.5402085781097412,0.2608523666858673
1910,ai,anchors:32789,8,0.11952755600214005,0.1222925849724561,0.5231482982635498,0.2905862331390381,0.5476309657096863,0.27602765,0.5603117942810059,0.2644418776035309,0.4321035146713257,0.17097803950309753,0.5264322757720947,0.24951303005218506,0.4809839725494385,0.2496643364429474
1920,ai,anchors:37738,8,0.077930331,0.085484175,0.4630354344844818,0.2611580193042755,0.5311360955238342,0.2822045087814331,0.558218777,0.2862612307071686,0.4133266508579254,0.17261557281017303,0.537408173,0.2907212823629379,0.5262031555175781,0.2987225353717804
1930,ai,anchors:41609,8,0.096221372,0.098223529,0.43898117542266846,0.2390751838684082,0.4940991997718811,0.25933079421520233,0.49883100390434265,0.24161547422409058,0.3958685100078583,0.16334734857082367,0.5148236751556396,0.2766631543636322,0.527539849,0.30088819563388824
1940,ai,anchors:44918,8,0.1153576523065567,0.12046685675159097,0.44544172286987305,0.2451981157064438,0.4764672517776489,0.24599923193454742,0.4849226176738739,0.24892105162143707,0.3926902115345001,0.1741611659526825,0.5152319073677063,0.2850080132484436,0.5118839740753174,0.29135921597480774
1950,ai,anchors:48333,9,0.10885394364595413,0.11310231080278754,0.42133206129074097,0.22501584887504578,0.5116001963615417,0.2867739796638489,0.5760442614555359,0.33821427822113037,0.39456361532211304,0.17341044545173645,0.5285409092903137,0.2975608855485916,0.4770183265209198,0.2664155960083008
1960,ai,anchors:50000,9,0.089456186,0.093970155,0.4322669208049774,0.24242526292800903,0.5192511081695557,0.29860568046569824,0.5778874754905701,0.34732580184936523,0.41381701827049255,0.19804933667182922,0.5617293119430542,0.3241182714700699,0.4930424690246582,0.28307656943798065
1970,ai,anchors:50000,9,0.033462151885032654,0.037006454,0.3824585974216461,0.19565214216709137,0.5424044132232666,0.3262191563844681,0.5701097249984741,0.34454062581062317,0.3984317183494568,0.17938101291656494,0.5415334105491638,0.3104701340198517,0.5011101961135864,0.29159095883369446
1980,ai,anchors:50000,9,0.05904999,0.06378286,0.37017542123794556,0.1852344125509262,0.5099452137947083,0.2957020252943039,0.5738862752914429,0.3412068784236908,0.3998010456562042,0.18369191884994507,0.47159963846206665,0.24190695583820343,0.5034298896789551,0.28760582208633423
1990,ai,anchors:50000,10,0.025407053530216217,0.041309055,0.30672967433929443,0.1283680945634842,0.4435558021068573,0.23359651863574982,0.5581876635551453,0.3336621820926666,0.32214653491973877,0.1205434650182724,0.44848939776420593,0.2222147434949875,0.4629848301410675,0.2544097602367401
2000,ai,reference,10,0.056548849,0.059941419,0.26616737246513367,0.1009204089641571,0.43418774008750916,0.2390289455652237,0.5219669342041016,0.3193672448396683,0.32843756675720215,0.13813309371471405,0.4577428698539734,0.2486816942691803,0.4580334722995758,0.2659255862236023
2010,ai,anchors:50000,10,0.076409414,0.078985646,0.2681340277194977,0.10436882078647614,0.4047014117240906,0.20032887160778046,0.5124395489692688,0.30679306387901306,0.30013495683670044,0.11593753099441528,0.4511488378047943,0.2481592446565628,0.461448073,0.2658361792564392
1900,automation_control,anchors:28374,3,,,,,,,,,,,,,,
1910,automation_control,anchors:32789,4,0.14122231304645538,0.14398734201677144,0.48875531554222107,0.25619325041770935,0.48575901985168457,0.21415570378303528,0.4306636154651642,0.1347936987876892,0.31677937507629395,0.055653899908065796,0.34355729818344116,0.066638052,0.4024101793766022,0.17109054327011108
1920,automation_control,anchors:37738,4,0.11285381019115448,0.12040765397250652,0.5454423427581787,0.3435649275779724,0.4338599145412445,0.18492832779884338,0.38185039162635803,0.1098928451538086,0.28292155265808105,0.042210474610328674,0.3010709285736084,0.054384038,0.41090652346611023,0.1834259033203125
1930,automation_control,anchors:41609,5,0.16893765330314636,0.1709398098755628,0.5642774105072021,0.3643714189529419,0.44775521755218506,0.2129868119955063,0.3941017985343933,0.13688626885414124,0.32299700379371643,0.090475842,0.304187149,0.066026628,0.44378432631492615,0.21713267266750336
